ORIGIN,,,,,,,,,,STATUS,,,,,DESCRIPTION AND CATALOG OF THE RULE,,,,,,MAIN DATA INFORMATION,,,,,,,,,,,TECHNICAL INFORMATION,,,,,,,,,,,,,,,,,,,,"Modificado (cambiado color a amarillo) --> NO TOCAR ARRASTRAR FORMULA
Nueva versión en verde (ajustar MMRule ""0N"")--> (Normativa de repositorios de configuraciones y jobs - 3.2 )",,,,,Extra info C360,,,Revision Final-WIP,,nueva version en verde,,,,
IMPLANTATION TYPE,DEFINED BY,ENABLER PROJECT,DOMINIO / DOMAIN,SUBDOMINIO / SUBDOMAIN,OWNERSHIP,DATA OWNER,PROJECT WHO DEFINES,PROJECT ID RULE,ID F&T,STATUS DEVELOPMENT,STATUS IMPLANTATION,REASONS NOT IMPLANTATION,DEFINITION PERIOD,PUBLICATION DATE,Type of  rule,Implantation Level (Field/Object),Technical MVP,Principle,EXPERT RULE Definition Spanish, EXPERT RULE Definition English,NAMING,SUPPLY TYPE *, C360 CODE*,Priorización,Logical Name **,NOMBRE (SPA),TABLE (en C360),BLOQUE / LEVEL*,CONCEPTUAL MODEL OBJECT 1 *,Secondary Table (4.3-5.2-6.4),Secondary Field (5.2-5.3-6.4),Technical description of the rule,Target Threshold,Minimum Threshold,Frequency of measurement,FORMAT (3.2),CATALOG (TAXONOMY/STATIC) (3.5-6.1-6.10),Regular Expresion,"List of illegal values
(3.3)",Min Value (3.4-6.1-6.2-6.9),Max Value (3.4-6.1-6.2-6.4-6.9),Moment of Comparison (6.4-6.9),Materiality,Drilldown,Subset,"Is Critical 
(True/False)",REGLAS,ID RULE,TECHNICAL STATUS,"Conf (MRField, ORField, OCField,...)",version  FINISHED,Conf name,Parameters,Campo / Tabla,Campo / Tabla / Tipo de regla,Job Dataproc,UUAA,CONFIG FILE STATUS,Backlog,ID_ESTADO,BuscarV,Url conf,Url Extralibs,Fecha de entrega,Origin,Fecha de solicitud
Both,,,,,,,,,N/A,FINISHED,DELIVERED,,4Q25,,3.1-Checking the null data value (NULL or empty value),,YES,,"El campo gf_year_id
de la tabla t_b0hn_sust_group_mark
debe estar informado","The 
field gf_year_id from the object t_b0hn_sust_group_mark
must be informed",gf_year_id,,,,,,t_b0hn_sust_group_mark,,,,,,,,,N/A,N/A,N/A,,,,,,,N/A,TRUE,,GL_MVP_t_b0hn_sust_group_mark_3.1_005,NO CHANGES,,18.3.3,B0HN_sust-group-mark_MRField.conf,"CUTOFF_DATE: Date of the data
SOURCE_LIST: Origin of data (gf_information_source_type): Example: 'SOURCE_LIST': "" 'A', 'B' """,,,#N/A,B0HN,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/18.3.3/hammurabi/confs/master/b0hn/B0HN_sust-group-mark_MRField.conf,,04/11/2025,Stock,
Both,,,,,,,,,N/A,FINISHED,DELIVERED,,4Q25,,3.2-Checking the format of the field (Data type and format),,YES,,El valor del dato cumple con el formato requerido: ALPHANUMERIC(15),The data value complies with the required format: ALPHANUMERIC(15),g_holding_group_id,,,,,,t_b0hn_sust_group_mark,,,,,,,,,ALPHANUMERIC(15),N/A,"^.{1,15}$",,,,,,,N/A,TRUE,,GL_MVP_t_b0hn_sust_group_mark_3.2_000,NO CHANGES,,18.3.3,B0HN_sust-group-mark_MRField.conf,"CUTOFF_DATE: Date of the data
SOURCE_LIST: Origin of data (gf_information_source_type): Example: 'SOURCE_LIST': "" 'A', 'B' """,,,#N/A,B0HN,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/18.3.3/hammurabi/confs/master/b0hn/B0HN_sust-group-mark_MRField.conf,,04/11/2025,Stock,
Both,,,,,,,,,N/A,FINISHED,DELIVERED,,4Q25,,3.2-Checking the format of the field (Data type and format),,YES,,El valor del dato cumple con el formato requerido: ALPHANUMERIC(4),The data value complies with the required format: ALPHANUMERIC(4),gf_year_id,,,,,,t_b0hn_sust_group_mark,,,,,,,,,ALPHANUMERIC(4),N/A,"^.{1,4}$",,,,,,,N/A,TRUE,,GL_MVP_t_b0hn_sust_group_mark_3.2_005,NO CHANGES,,18.3.3,B0HN_sust-group-mark_MRField.conf,"CUTOFF_DATE: Date of the data
SOURCE_LIST: Origin of data (gf_information_source_type): Example: 'SOURCE_LIST': "" 'A', 'B' """,,,#N/A,B0HN,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/18.3.3/hammurabi/confs/master/b0hn/B0HN_sust-group-mark_MRField.conf,,04/11/2025,Stock,
Both,,,,,,,,,N/A,FINISHED,DELIVERED,,4Q25,,4.2-Duplication of records for the same data (Duplicates),,YES,,"El campo clave formado por
g_holding_group_id
g_information_source_type
gf_year_id
gf_cutoff_date
gf_sustainability_subcatg_id
es único y no existen duplicados en la tabla","The table
does not contain duplicates in its Primary Key formed by 
g_holding_group_id
g_information_source_type
gf_year_id
gf_cutoff_date","g_holding_group_id
g_information_source_type
gf_year_id
gf_cutoff_date
gf_sustainability_subcatg_id",,,,,,t_b0hn_sust_group_mark,,,,,,,,,N/A,N/A,N/A,,,,,,,N/A,TRUE,,GL_STR_t_b0hn_sust_group_mark_4.2_000,NO CHANGES,,18.3.3,B0HN_sust-group-mark_MRField.conf,"CUTOFF_DATE: Date of the data
SOURCE_LIST: Origin of data (gf_information_source_type): Example: 'SOURCE_LIST': "" 'A', 'B' """,,,#N/A,B0HN,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/18.3.3/hammurabi/confs/master/b0hn/B0HN_sust-group-mark_MRField.conf,,04/11/2025,Stock,
Local,,,,,,,,,N/A,FINISHED,DELIVERED,,1Q21,,3.1-Checking the null data value (NULL or empty value),,YES,,"El campo g_contract_id
de la tabla t_rzua_sust_operations
debe estar informado","The 
field g_contract_id from the object t_rzua_sust_operations
must be informed",g_contract_id,,,,,,t_rzua_sust_operations,,,,,,,,,N/A,N/A,N/A,,,,,,,N/A,TRUE,,GL_MVP_t_rzua_sust_operations_3.1_000,NO CHANGES,,15.1.0,RZUA_sust-operations_MRField.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_RZUA_APP-ID-19546_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/rzua-gl-hmm-qlt-sustoperationsmrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_RZUA_APP-ID-19546_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/rzua-gl-hmm-qlt-sustoperationsmrfield-01.json?at=refs%2Ftags%2Fv18.3.3",RZUA,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-rzua/blob/15.1.0/hammurabi/confs/master/rzua/RZUA_sust-operations_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,N/A,FINISHED,DELIVERED,,1Q21,,3.1-Checking the null data value (NULL or empty value),,NO,,"El campo gf_sustainability_mark_id
de la tabla t_rzua_sust_operations
debe estar informado","The 
field gf_sustainability_mark_id from the object t_rzua_sust_operations
must be informed",gf_sustainability_mark_id,,,,,,t_rzua_sust_operations,,,,,,,,,N/A,N/A,N/A,,,,,,,N/A,TRUE,,GL_MVP_t_rzua_sust_operations_3.1_001,NO CHANGES,,15.1.0,RZUA_sust-operations_MRField.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_RZUA_APP-ID-19546_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/rzua-gl-hmm-qlt-sustoperationsmrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_RZUA_APP-ID-19546_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/rzua-gl-hmm-qlt-sustoperationsmrfield-01.json?at=refs%2Ftags%2Fv18.3.3",RZUA,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-rzua/blob/15.1.0/hammurabi/confs/master/rzua/RZUA_sust-operations_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,N/A,FINISHED,DELIVERED,,1Q21,,3.1-Checking the null data value (NULL or empty value),,NO,,"El campo gf_sustainability_category_id
de la tabla t_rzua_sust_operations
debe estar informado","The 
field gf_sustainability_category_id from the object t_rzua_sust_operations
must be informed",gf_sustainability_category_id,,,,,,t_rzua_sust_operations,,,,,,,,,N/A,N/A,N/A,,,,,,,N/A,TRUE,,GL_MVP_t_rzua_sust_operations_3.1_002,NO CHANGES,,15.1.0,RZUA_sust-operations_MRField.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_RZUA_APP-ID-19546_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/rzua-gl-hmm-qlt-sustoperationsmrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_RZUA_APP-ID-19546_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/rzua-gl-hmm-qlt-sustoperationsmrfield-01.json?at=refs%2Ftags%2Fv18.3.3",RZUA,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-rzua/blob/15.1.0/hammurabi/confs/master/rzua/RZUA_sust-operations_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,N/A,FINISHED,DELIVERED,,1Q21,,3.1-Checking the null data value (NULL or empty value),,YES,,"El campo gf_sustainability_subcatg_id
de la tabla t_rzua_sust_operations
debe estar informado","The 
field gf_sustainability_subcatg_id from the object t_rzua_sust_operations
must be informed",gf_sustainability_subcatg_id,,,,,,t_rzua_sust_operations,,,,,,,,,N/A,N/A,N/A,,,,,,,N/A,TRUE,,GL_MVP_t_rzua_sust_operations_3.1_003,NO CHANGES,,15.1.0,RZUA_sust-operations_MRField.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_RZUA_APP-ID-19546_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/rzua-gl-hmm-qlt-sustoperationsmrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_RZUA_APP-ID-19546_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/rzua-gl-hmm-qlt-sustoperationsmrfield-01.json?at=refs%2Ftags%2Fv18.3.3",RZUA,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-rzua/blob/15.1.0/hammurabi/confs/master/rzua/RZUA_sust-operations_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,N/A,FINISHED,DELIVERED,,1Q21,,3.1-Checking the null data value (NULL or empty value),,YES,,"El campo g_movement_id
de la tabla t_g5m3_movement_carbon_footprint
debe estar informado","The 
field g_movement_id from the object t_g5m3_movement_carbon_footprint  
must be informed",g_movement_id,,,,,,t_g5m3_movement_carbon_footprint,,,,,,,,,N/A,N/A,N/A,,,,,,,N/A,TRUE,,GL_MVP_t_g5m3_movement_carbon_footprint_3.1_000,NO CHANGES,,15.1.0,G5M3_movement-carbon-footprint_MRField.conf,"CUTOFF_DATE: Date of the data
OPERATION_DATE: Date of the data without hyphen",,,#N/A,G5M3,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-g5m3/blob/15.1.0/hammurabi/confs/master/g5m3/G5M3_movement-carbon-footprint_MRField.conf,,06/11/2024,Stock,
