ids;naming_set;tablas;subset;datavaluespath;values;datavaluescolumn;datavaluessubset;ID RULE;CATALOG (TAXONOMY/STATIC) (3.5-6.1-6.10);Frequency of measurement;Subset;DEFINITION PERIOD;PUBLICATION DATE;STATUS DEVELOPMENT;STATUS IMPLANTATION;Parameters
GL_DOM_t_b0hn_sust_groups_fdbk_detail_3.5_001;{'gf_sust_response_score_number'};t_b0hn_sust_groups_fdbk_detail;;;[0.0, 0.5];;;GL_DOM_t_b0hn_sust_groups_fdbk_detail_3.5_001;0 / 0,5;Daily;;3Q22;Oct_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_b0hn_sust_groups_fdbk_detail_3.5_002;{'gf_supplier_question_desc'};t_b0hn_sust_groups_fdbk_detail;;;"['Does your company have an ESG policy or ESG targets in place?', 'Does your company have a complete ESG strategy?', 'Is your company a signatory of any relevant regional, national, international or sectoral responsible business or ESG initiatives?', 'Does your company have an ESG report following an existing standard, where the company discloses their ESG performance indicators?', ""Does your ESG strategy have a formal oversight within the company's organization?"", 'Does your company include Sustainable products in their product/commercial offer?', 'Have you received any administrative penalties or fines related to ESG issues in the past 5 years?', 'Does your company measure any aspect of its  environmental footprint?', 'Does your company have specific targets or goals to reduce its  environmental footprint?', 'Is your company implementing any actions to reduce their environmental footprint?', 'Does your company have in place an Environmental Management System?', 'Does your company measure their Greenhouse Gas (GHG) emissions following an international recognised GHGs emissions standard?', 'Does your company have an emissions reduction target?', ""Is your company's emission target a Net Zero target?"", 'Does your company source, design, use or manufacture technologies or solutions that will enable the transition to a low-carbon economy?', 'Does your company have a human rights policy?', 'Does your company have a policy or program to ensure diversity and equal employee opportunities regardless of ethnic origin, gender, age, sexual orientation or political belief?', 'Does your company have a health and safety management system in place such as ISO 45001?', 'Does your company have training plans for its employees for the development of their personal and professional skills in the long term?', 'Does your company have a grievance/complaints handling mechanism related to employee matters (e.g. to report anonymously inappropriate behavior, conflicts, attempted bribery, etc.)?']";;;GL_DOM_t_b0hn_sust_groups_fdbk_detail_3.5_002;"""Does your company have an ESG policy or ESG targets in place?"" \
""Does your company have a complete ESG strategy?"" \
""Is your company a signatory of any relevant regional, national, international or sectoral responsible business or ESG initiatives?"" \
""Does your company have an ESG report following an existing standard, where the company discloses their ESG performance indicators?"" \ This could be a separate CSR report or a Sustainability section included in the integrated report or website
""Does your ESG strategy have a formal oversight within the company's organization?"" \
""Does your company include Sustainable products in their product/commercial offer?"" \
""Have you received any administrative penalties or fines related to ESG issues in the past 5 years?"" \
""Does your company measure any aspect of its  environmental footprint?"" \
""Does your company have specific targets or goals to reduce its  environmental footprint?"" \
""Is your company implementing any actions to reduce their environmental footprint?"" \
""Does your company have in place an Environmental Management System?"" \
""Does your company measure their Greenhouse Gas (GHG) emissions following an international recognised GHGs emissions standard?"" \
""Does your company have an emissions reduction target?"" \
""Is your company's emission target a Net Zero target?"" \
""Does your company source, design, use or manufacture technologies or solutions that will enable the transition to a low-carbon economy?"" \ 
""Does your company have a human rights policy?"" \
""Does your company have a policy or program to ensure diversity and equal employee opportunities regardless of ethnic origin, gender, age, sexual orientation or political belief?"" \
""Does your company have a health and safety management system in place such as ISO 45001?"" \
""Does your company have training plans for its employees for the development of their personal and professional skills in the long term?"" \
""Does your company have a grievance/complaints handling mechanism related to employee matters (e.g. to report anonymously inappropriate behavior, conflicts, attempted bribery, etc.)?""";Daily;;4Q22;Ene_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_b0hn_sust_groups_fdbk_3.5_002;{'gf_supplier_sust_score_desc'};t_b0hn_sust_groups_fdbk;;;['A', 'B'];;;GL_DOM_t_b0hn_sust_groups_fdbk_3.5_002;A / B;Daily;;3Q22;Oct_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27bcbdec31;{'gf_mdty_sign_ind_type'};t_ctar_sign_proc_participant;gf_mdty_sign_ind_type  is not null and gf_mdty_sign_ind_type != '' ;;['Y', 'N'];;;27bcbdec31;Y/N;Daily;Distinto de Null o vacío;1Q24;Abr_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27bcbdec7d;{'gf_sign_mdty_acptc_read_ind_type'};t_ctar_sign_proc_participant;gf_sign_mdty_acptc_read_ind_type  is not null and gf_sign_mdty_acptc_read_ind_type != '' ;;['Y', 'N'];;;27bcbdec7d;Y/N;Daily;Distinto de Null o vacío;1Q24;Abr_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_ejb6_digital_sales_3.5_000;{'g_dig_sales_ct_ind_type'};t_ejb6_digital_sales;;;['Y', 'N'];;;GL_DOM_t_ejb6_digital_sales_3.5_000;Y/N;Monthly;;3Q22;Oct_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
287b3bce61;{'g_origin_sust_oper_ind_type'};t_g5m3_agg_mlzed_amount;;;['Y', 'N'];;;287b3bce61;Y/N;Monthly;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27a7162a33;{'gf_notif_reading_ind_type'};t_j7il_notification_management;gf_notif_reading_ind_type  is not null and gf_notif_reading_ind_type  != '';;['Y', 'N'];;;27a7162a33;Y/N;Daily;Distinto de Null o vacío;4Q23;Ene_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_katc_recurrence_forecast_3.5_001;{'g_dt_outlier_removed_ind_type'};t_katc_recurrence_forecast;g_dt_outlier_removed_ind_type is not null and g_dt_outlier_removed_ind_type != '';;['Y', 'N'];;;GL_DOM_t_katc_recurrence_forecast_3.5_001;Y/N;Daily;Cuando g_dt_outlier_removed_ind_type sea distinto de NULL y vacío;1Q23;Mar_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_katc_relevant_facts_3.5_001;{'gf_mult_account_ind_type'};t_katc_relevant_facts;gf_mult_account_ind_type is not null and gf_mult_account_ind_type != '';;['Y', 'N'];;;GL_DOM_t_katc_relevant_facts_3.5_001;Y/N;Daily;Cuando gf_mult_account_ind_type sea distinto de NULL y vacío;1Q23;Mar_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
